date,stadium_id,stadium_name,race_id,temp,water_temp,wind_speed,wind_dir,wave,weather,payoff_trifecta,popularity_trifecta,is_accident
2026-02-16,1,桐生,1,10.0,6.0,7,4,6,曇り,12080,48,0
2026-02-16,1,桐生,2,9.0,6.0,7,4,7,曇り,1220,3,0
2026-02-16,1,桐生,3,8.0,6.0,7,4,6,曇り,1440,1,0
2026-02-16,1,桐生,4,8.0,6.0,6,4,5,曇り,7180,28,0
2026-02-16,1,桐生,5,8.0,6.0,6,4,5,曇り,770,1,0
2026-02-16,1,桐生,6,7.0,6.0,5,2,4,曇り,1160,6,0
2026-02-16,1,桐生,7,7.0,6.0,6,2,6,曇り,8400,23,0
2026-02-16,1,桐生,8,6.0,6.0,6,2,5,曇り,7250,22,0
2026-02-16,1,桐生,9,6.0,6.0,6,2,5,曇り,1060,2,0
2026-02-16,1,桐生,10,6.0,6.0,7,2,6,曇り,2520,6,0
2026-02-16,1,桐生,11,6.0,6.0,6,2,5,曇り,10510,25,0
2026-02-16,1,桐生,12,6.0,6.0,5,2,4,曇り,19930,61,0
2026-02-16,4,平和島,1,13.0,14.0,3,13,3,曇り,2260,6,0
2026-02-16,4,平和島,2,13.0,14.0,3,13,3,曇り,5820,28,0
2026-02-16,4,平和島,3,14.0,14.0,3,13,3,曇り,4350,16,0
2026-02-16,4,平和島,4,12.0,14.0,3,5,3,曇り,4240,18,0
2026-02-16,4,平和島,5,12.0,14.0,3,5,3,曇り,1460,5,0
2026-02-16,4,平和島,6,12.0,14.0,2,5,3,曇り,4630,19,0
2026-02-16,4,平和島,7,12.0,14.0,3,5,3,曇り,3690,14,0
2026-02-16,4,平和島,8,12.0,14.0,2,5,3,曇り,1360,5,0
2026-02-16,4,平和島,9,12.0,14.0,2,5,3,曇り,2850,9,0
2026-02-16,4,平和島,10,12.0,14.0,2,5,3,曇り,4460,19,0
2026-02-16,4,平和島,11,11.0,14.0,2,3,3,曇り,5310,16,0
2026-02-16,4,平和島,12,11.0,14.0,2,5,3,曇り,2560,9,0
2026-02-16,7,蒲郡,1,13.0,10.0,3,1,1,曇り,3500,13,0
2026-02-16,7,蒲郡,2,13.0,10.0,3,1,1,曇り,7590,38,0
2026-02-16,7,蒲郡,3,12.0,10.0,3,1,1,曇り,1100,3,1
2026-02-16,7,蒲郡,4,11.0,10.0,5,15,2,曇り,26740,56,0
2026-02-16,7,蒲郡,5,10.0,10.0,4,15,2,曇り,770,2,0
2026-02-16,7,蒲郡,6,9.0,10.0,4,15,2,曇り,2060,7,0
2026-02-16,7,蒲郡,7,8.0,10.0,4,15,2,曇り,640,1,0
2026-02-16,7,蒲郡,8,8.0,10.0,4,15,2,曇り,2730,13,1
2026-02-16,7,蒲郡,9,8.0,10.0,2,1,1,曇り,24300,57,0
2026-02-16,7,蒲郡,10,7.0,10.0,4,1,2,曇り,700,1,1
2026-02-16,7,蒲郡,11,7.0,10.0,4,1,2,曇り,1240,5,0
2026-02-16,7,蒲郡,12,7.0,10.0,4,1,2,曇り,3340,11,0
2026-02-16,8,常滑,1,11.0,9.0,4,15,3,晴,9060,25,0
2026-02-16,8,常滑,2,11.0,9.0,4,15,3,晴,1770,3,0
2026-02-16,8,常滑,3,12.0,10.0,5,15,3,晴,11830,39,0
2026-02-16,8,常滑,4,12.0,10.0,6,13,4,晴,3960,18,0
2026-02-16,8,常滑,5,12.0,10.0,6,13,4,晴,10010,39,0
2026-02-16,8,常滑,6,12.0,10.0,6,13,4,晴,1640,3,0
