race_id,date,stadium_id,race_no,title,deadline
20260219_03_01,2026-02-19,3,1,予選,2026-02-19 10:59:00
20260219_06_01,2026-02-19,6,1,予選,2026-02-19 11:19:00
20260219_10_01,2026-02-19,10,1,みくにあさイチ,2026-02-19 08:51:00
20260219_13_01,2026-02-19,13,1,朝からセンプル,2026-02-19 10:43:00
20260219_16_01,2026-02-19,16,1,一般,2026-02-19 10:48:00
20260219_18_01,2026-02-19,18,1,朝トク予選,2026-02-19 08:35:00
20260219_19_01,2026-02-19,19,1,予選,2026-02-19 15:21:00
20260219_03_01,2026-02-19,3,1,予選,2026-02-19 10:59:00
20260219_03_02,2026-02-19,3,2,予選,2026-02-19 11:25:00
20260219_03_03,2026-02-19,3,3,予選,2026-02-19 11:51:00
20260219_03_04,2026-02-19,3,4,予選,2026-02-19 12:17:00
20260219_03_05,2026-02-19,3,5,予選,2026-02-19 12:44:00
20260219_03_06,2026-02-19,3,6,予選,2026-02-19 13:12:00
20260219_03_07,2026-02-19,3,7,予選,2026-02-19 13:42:00
20260219_03_08,2026-02-19,3,8,予選,2026-02-19 14:13:00
20260219_03_09,2026-02-19,3,9,予選,2026-02-19 14:46:00
20260219_03_10,2026-02-19,3,10,予選,2026-02-19 15:19:00
20260219_03_11,2026-02-19,3,11,予選,2026-02-19 15:52:00
20260219_03_12,2026-02-19,3,12,Ｇ・Ｒ賞,2026-02-19 16:25:00
20240101_06_01,2024-01-01,6,1,予選,2024-01-01 10:29:00
20240101_06_02,2024-01-01,6,2,予選,2024-01-01 10:55:00
20240101_06_03,2024-01-01,6,3,予選,2024-01-01 11:24:00
20240101_06_04,2024-01-01,6,4,予選,2024-01-01 11:55:00
20240101_06_05,2024-01-01,6,5,ランチタイム１,2024-01-01 12:22:00
20240101_06_06,2024-01-01,6,6,ランチタイム２,2024-01-01 12:55:00
20240101_06_07,2024-01-01,6,7,予選,2024-01-01 13:25:00
20240101_06_08,2024-01-01,6,8,予選,2024-01-01 13:54:00
20240101_06_09,2024-01-01,6,9,予選,2024-01-01 14:25:00
20240101_06_10,2024-01-01,6,10,予選,2024-01-01 14:56:00
20240101_06_11,2024-01-01,6,11,静岡新聞社特選,2024-01-01 15:27:00
20240101_06_12,2024-01-01,6,12,新春特選,2024-01-01 16:10:00
20260219_06_01,2026-02-19,6,1,予選,2026-02-19 11:19:00
20260219_06_02,2026-02-19,6,2,予選,2026-02-19 11:48:00
20260219_06_03,2026-02-19,6,3,予選,2026-02-19 12:15:00
20260219_06_04,2026-02-19,6,4,ランチタイム戦,2026-02-19 12:43:00
20260219_06_05,2026-02-19,6,5,予選,2026-02-19 13:10:00
20260219_06_06,2026-02-19,6,6,予選,2026-02-19 13:47:00
20260219_06_07,2026-02-19,6,7,予選,2026-02-19 14:17:00
20260219_06_08,2026-02-19,6,8,ブレイクタイム,2026-02-19 15:00:00
20260219_06_09,2026-02-19,6,9,予選特賞,2026-02-19 15:33:00
20260219_06_10,2026-02-19,6,10,予選特賞,2026-02-19 16:00:00
20260219_06_11,2026-02-19,6,11,予選特選,2026-02-19 16:27:00
20260219_06_12,2026-02-19,6,12,ドリーム戦,2026-02-19 16:56:00
20240101_07_01,2024-01-01,7,1,予選,2024-01-01 15:22:00
20240101_07_02,2024-01-01,7,2,予選,2024-01-01 15:48:00
20240101_07_03,2024-01-01,7,3,予選,2024-01-01 16:17:00
20240101_07_04,2024-01-01,7,4,予選,2024-01-01 16:45:00
20240101_07_05,2024-01-01,7,5,予選,2024-01-01 17:11:00
20240101_07_06,2024-01-01,7,6,予選,2024-01-01 17:36:00
20240101_07_07,2024-01-01,7,7,予選,2024-01-01 18:03:00
20240101_07_08,2024-01-01,7,8,予選,2024-01-01 18:40:00
20240101_07_09,2024-01-01,7,9,予選,2024-01-01 19:11:00
20240101_07_10,2024-01-01,7,10,予選,2024-01-01 19:42:00
