race_id,rank1_boat,rank2_boat,rank3_boat,payoff_3t,win_method
20260219_03_01,1,5,3,3030,逃げ
20260219_06_01,1,4,2,2010,逃げ
20260219_10_01,1,6,3,1540,逃げ
20260219_13_01,3,1,6,4730,まくり差し
20260219_16_01,1,2,4,2750,逃げ
20260219_18_01,1,2,3,920,逃げ
20260219_19_01,1,5,2,3400,逃げ
20260219_03_01,1,5,3,3030,逃げ
20260219_03_02,1,3,5,850,逃げ
20260219_03_03,1,4,5,2820,逃げ
20260219_03_04,1,2,3,1290,抜き
20260219_03_05,1,3,5,1470,逃げ
20260219_03_06,4,5,1,25440,まくり差し
20260219_03_07,1,5,4,2400,逃げ
20260219_03_08,4,1,3,4810,まくり
20260219_03_09,1,4,3,1910,逃げ
20260219_03_10,2,3,6,44830,まくり
20260219_03_11,1,5,2,2010,逃げ
20260219_03_12,1,3,5,1440,逃げ
20240101_06_01,4,1,5,15090,まくり
20240101_06_02,3,1,2,2130,まくり
20240101_06_03,2,1,6,4930,差し
20240101_06_04,5,4,3,2220,差し
20240101_06_05,1,3,4,750,逃げ
20240101_06_06,6,1,2,46540,抜き
20240101_06_07,1,4,5,1070,抜き
20240101_06_08,1,3,5,2610,逃げ
20240101_06_09,3,4,5,27370,抜き
20240101_06_10,1,2,4,1400,逃げ
20240101_06_11,1,6,3,4790,逃げ
20240101_06_12,1,2,6,1140,逃げ
20260219_06_01,1,4,2,2010,逃げ
20260219_06_02,3,4,5,1870,まくり
20260219_06_03,1,6,2,4170,逃げ
20260219_06_04,1,3,4,770,逃げ
20260219_06_05,6,2,1,5470,差し
20260219_06_06,1,6,2,1150,逃げ
20260219_06_07,3,4,2,53940,まくり
20260219_06_08,4,3,1,1930,抜き
20260219_06_09,1,3,5,620,逃げ
20260219_06_10,1,2,5,5000,逃げ
20260219_06_11,1,4,5,2270,逃げ
20260219_06_12,4,3,1,15350,抜き
20240101_07_01,3,6,5,2360,恵まれ
20240101_07_02,1,5,6,7680,逃げ
20240101_07_03,1,5,3,8700,逃げ
20240101_07_04,1,3,4,720,逃げ
20240101_07_05,1,4,2,5710,逃げ
20240101_07_06,1,2,6,2510,逃げ
20240101_07_07,4,6,1,10530,まくり
20240101_07_08,1,4,2,1890,逃げ
20240101_07_09,5,2,3,115690,まくり
20240101_07_10,5,3,1,5440,差し
20240101_07_11,1,3,2,1350,逃げ
20240101_07_12,1,5,4,620,逃げ
20260219_10_01,1,6,3,1540,逃げ
20260219_10_02,2,4,1,1510,まくり
20260219_10_03,1,3,2,800,逃げ
20260219_10_04,3,2,1,8800,差し
20260219_10_05,1,4,2,490,逃げ
20260219_10_06,1,3,6,1340,逃げ
20260219_10_07,4,1,5,2190,まくり
20260219_10_08,5,4,1,6290,まくり差し
20260219_10_09,1,2,3,3280,抜き
20260219_10_10,4,2,5,4930,まくり
20260219_10_11,3,2,5,15410,まくり差し
20260219_10_12,1,2,5,3450,逃げ
20240101_08_01,6,1,3,4090,抜き
20240101_08_02,1,3,2,2150,逃げ
20240101_08_03,2,5,3,9420,まくり
20240101_08_04,1,2,5,660,逃げ
20240101_08_05,5,4,1,4510,まくり差し
20240101_08_06,2,5,6,1460,差し
20240101_08_07,1,3,5,2340,逃げ
20240101_08_08,5,3,1,1820,まくり
20240101_08_09,1,5,3,800,逃げ
20240101_08_10,1,4,6,6110,逃げ
20240101_08_11,4,1,2,1780,まくり差し
20240101_08_12,1,4,5,790,逃げ
